time,t1,t2
2020-04-02 14:48:25,25.0,24.9
2020-04-02 14:48:47,25.0,24.9
2020-04-02 14:49:09,24.9,24.9
2020-04-02 14:49:31,24.9,24.9
2020-04-02 14:49:53,25.0,24.9
2020-04-02 14:50:15,25.0,24.9
2020-04-02 14:50:36,24.9,24.9
2020-04-02 14:50:58,25.0,24.9
2020-04-02 14:51:20,25.0,24.9
2020-04-02 14:51:42,25.0,24.9
2020-04-02 14:52:04,25.0,24.9
2020-04-02 14:52:25,25.0,24.9
2020-04-02 14:52:47,25.0,24.9
2020-04-02 14:53:09,25.0,24.9
2020-04-02 14:53:31,25.0,24.9
2020-04-02 14:53:53,25.0,24.9
2020-04-02 14:54:14,25.0,24.9
2020-04-02 14:54:36,24.9,24.9
2020-04-02 14:54:58,25.0,24.9
2020-04-02 14:55:20,25.0,24.9
2020-04-02 14:55:42,25.0,24.9
2020-04-02 14:56:04,25.0,24.9
2020-04-02 14:56:25,25.0,24.9
2020-04-02 14:56:47,25.0,24.9
2020-04-02 14:57:09,25.0,24.9
2020-04-02 14:57:31,24.9,24.9
2020-04-02 14:57:53,24.9,24.8
2020-04-02 14:58:15,25.0,24.9
2020-04-02 14:58:36,25.0,24.9
2020-04-02 14:58:58,25.0,24.9
2020-04-02 14:59:20,24.9,24.8
2020-04-02 14:59:42,24.9,24.9
2020-04-02 15:00:04,24.9,24.9
2020-04-02 15:00:26,25.0,24.9
2020-04-02 15:00:47,25.0,24.9
2020-04-02 15:01:09,24.9,24.9
2020-04-02 15:01:31,24.9,24.8
2020-04-02 15:01:53,24.9,24.8
2020-04-02 15:02:15,24.9,24.8
2020-04-02 15:02:36,25.0,24.9
2020-04-02 15:02:58,25.0,24.9
2020-04-02 15:03:20,25.1,24.9
2020-04-02 15:03:42,25.0,24.9
2020-04-02 15:04:03,25.0,24.9
2020-04-02 15:04:25,25.0,24.9
2020-04-02 15:04:47,25.0,24.9
2020-04-02 15:05:09,24.9,24.9
2020-04-02 15:05:31,25.0,24.9
2020-04-02 15:05:52,25.0,24.9
2020-04-02 15:06:14,25.0,24.9
2020-04-02 15:06:36,25.1,24.9
2020-04-02 15:06:58,25.0,24.9
2020-04-02 15:07:20,25.0,24.9
2020-04-02 15:07:41,25.1,24.9
2020-04-02 15:08:03,25.0,24.9
2020-04-02 15:08:25,25.1,24.9
2020-04-02 15:08:47,25.0,24.9
2020-04-02 15:09:09,25.0,24.9
2020-04-02 15:09:31,25.0,24.9
2020-04-02 15:09:53,25.0,24.9
2020-04-02 15:10:14,25.0,24.9
2020-04-02 15:10:36,25.0,24.9
2020-04-02 15:10:58,25.0,24.9
2020-04-02 15:11:20,25.0,24.9
2020-04-02 15:11:41,25.1,25.0
2020-04-02 15:12:03,25.1,25.0
2020-04-02 15:12:25,25.1,24.9
2020-04-02 15:12:47,25.1,24.9
2020-04-02 15:13:09,25.1,24.9
2020-04-02 15:13:31,25.1,24.9
2020-04-02 15:13:52,25.0,24.9
2020-04-02 15:14:14,25.1,24.9
2020-04-02 15:14:36,25.1,24.9
2020-04-02 15:14:58,25.0,24.9
2020-04-02 15:15:20,25.0,24.9
2020-04-02 15:15:41,25.1,24.9
2020-04-02 15:16:03,25.1,24.9
2020-04-02 15:16:25,25.1,25.0
2020-04-02 15:16:47,25.1,24.9
2020-04-02 15:17:09,25.1,24.9
2020-04-02 15:17:31,25.1,24.9
2020-04-02 15:17:53,25.1,24.9
2020-04-02 15:18:14,25.1,24.9
2020-04-02 15:18:36,25.0,24.9
2020-04-02 15:18:58,25.1,24.9
2020-04-02 15:19:20,25.1,25.0
2020-04-02 15:19:42,25.1,24.9
2020-04-02 15:20:03,25.1,24.9
2020-04-02 15:20:25,25.1,24.9
2020-04-02 15:20:47,25.1,24.9
2020-04-02 15:21:09,25.0,24.9
2020-04-02 15:21:31,25.0,24.9
2020-04-02 15:21:53,25.0,24.9
2020-04-02 15:22:15,25.0,24.9
2020-04-02 15:22:36,25.1,24.9
2020-04-02 15:22:58,25.0,24.9
2020-04-02 15:23:20,25.0,24.9
2020-04-02 15:23:42,25.0,24.9
2020-04-02 15:24:04,25.1,24.9
2020-04-02 15:24:25,25.0,24.9
2020-04-02 15:24:47,25.0,24.9
2020-04-02 15:25:09,25.0,24.9
2020-04-02 15:25:31,25.0,24.9
2020-04-02 15:25:53,25.0,24.9
2020-04-02 15:26:15,25.0,24.9
2020-04-02 15:26:36,25.1,24.9
2020-04-02 15:26:58,25.1,25.0
2020-04-02 15:27:20,25.1,25.0
2020-04-02 15:27:42,25.1,25.0
2020-04-02 15:28:04,25.1,24.9
2020-04-02 15:28:25,25.1,24.9
2020-04-02 15:28:47,25.1,24.9
2020-04-02 15:29:09,25.1,25.0
2020-04-02 15:29:31,25.1,24.9
2020-04-02 15:29:53,25.0,24.9
2020-04-02 15:30:15,25.1,24.9
2020-04-02 15:30:37,25.1,25.0
2020-04-02 15:30:58,25.1,24.9
2020-04-02 15:31:20,25.0,24.9
2020-04-02 15:31:42,25.0,24.9
2020-04-02 15:32:04,25.0,24.9
2020-04-02 15:32:26,25.0,24.9
2020-04-02 15:32:48,25.0,24.9
2020-04-02 15:33:09,25.1,24.9
2020-04-02 15:33:31,25.1,24.9
2020-04-02 15:33:53,25.1,24.9
2020-04-02 15:34:15,25.1,25.0
2020-04-02 15:34:37,25.1,25.0
2020-04-02 15:34:59,25.1,25.0
2020-04-02 15:35:20,25.0,24.9
2020-04-02 15:35:42,24.9,24.9
2020-04-02 15:36:04,24.9,24.9
2020-04-02 15:36:26,25.0,24.9
2020-04-02 15:36:48,25.0,24.9
2020-04-02 15:37:09,25.0,24.9
2020-04-02 15:37:31,25.0,24.9
2020-04-02 15:37:53,25.1,24.9
2020-04-02 15:38:15,25.0,24.9
2020-04-02 15:38:37,25.1,24.9
2020-04-02 15:38:59,25.1,24.9
2020-04-02 15:39:20,25.0,24.8
2020-04-02 15:39:42,25.0,24.8
2020-04-02 15:40:04,25.0,24.9
2020-04-02 15:40:26,25.0,24.9
2020-04-02 15:40:47,24.9,24.8
2020-04-02 15:41:09,25.0,24.9
2020-04-02 15:41:31,25.0,24.9
2020-04-02 15:41:53,25.0,24.9
2020-04-02 15:42:15,25.0,24.9
2020-04-02 15:42:37,25.0,24.9
2020-04-02 15:42:58,24.9,24.8
2020-04-02 15:43:20,25.0,24.9
2020-04-02 15:43:42,25.0,24.9
2020-04-02 15:44:04,25.1,25.0
2020-04-02 15:44:26,25.1,24.9
2020-04-02 15:44:48,25.1,24.9
2020-04-02 15:45:09,25.1,24.9
2020-04-02 15:45:32,25.1,24.9
2020-04-02 15:45:54,25.1,24.9
2020-04-02 15:46:16,25.0,24.9
2020-04-02 15:46:38,25.1,25.0
2020-04-02 15:46:59,25.1,24.9
2020-04-02 15:47:21,25.0,24.9
2020-04-02 15:47:43,25.0,24.9
2020-04-02 15:48:05,24.9,24.8
2020-04-02 15:48:27,25.0,24.9
2020-04-02 15:48:48,25.0,24.8
2020-04-02 15:49:10,24.9,24.8
2020-04-02 15:49:32,25.0,24.9
2020-04-02 15:49:54,24.9,24.9
2020-04-02 15:50:16,25.0,24.9
2020-04-02 15:50:38,25.0,24.9
2020-04-02 15:50:59,24.9,24.9
2020-04-02 15:51:21,25.0,24.9
2020-04-02 15:51:43,25.0,24.9
2020-04-02 15:52:05,24.9,24.8
2020-04-02 15:52:27,25.0,24.9
2020-04-02 15:52:49,24.9,24.8
2020-04-02 15:53:10,24.9,24.8
2020-04-02 15:53:32,24.9,24.8
2020-04-02 15:53:54,24.9,24.8
2020-04-02 15:54:16,24.9,24.8
